,0
0,鎖定低軌商機，TI 擴大航太級產品組合
1,朝 7 奈米研發設計！巨有科技 11/30 以底價 36.17 元競拍
2,SiPearl 當前不看好 RISC-V 架構應用高效能運算，對中國期待澆冷水
3,布局智慧工廠有成，友達獲德國 ROI-EFESO 工業 4.0 大獎
4,睡眠檢測準確率 9 成！台大健管中心攜安克生醫揪「呼吸中止症」
5,台中電廠清晨傳出火警，台電：供電不受影響
6,異次元寬鬆來首見，日銀持有的 JGB 出現帳面虧損
7,中國擴大防疫封控，主要城市開始攔查兩個手機 App
8,Google Play 提供 App 歸檔功能：可部分移除應用，釋放手機空間
9,揭開能源「大黑箱」：台電如何計算一度電產生多少二氧化碳？
10,外派工程師赴美遭指掏空人才，台積電：沒這疑慮
11,白紙革命爆發導致 iPhone 供貨更不穩定，蘋果市值已蒸發近千億美元
12,美國食品藥物管理局首度核准培養肉可供食用
13,全球政府盯上蘋果與 Google「雙頭壟斷」手機市場問題，寡占企業高額抽成暴利會被撼動嗎？
14,英國加強打擊 Deepfake 色情影片，未經同意分享將犯刑法罪
15,台灣 2023 年製造業產值估成長 3.24%，半導體產業提早達成 5 兆元產值目標
16,擴大營運版圖！伸興子公司喜佳首家手作空間中壢開幕
17,蘋果抽廣告 Twitter 有多痛？
18,"獲 3,000 萬澳幣 B 輪融資，摩爾斯微電子加速拓展 Wi-Fi HaLow 市場"
19,看好亞馬遜獲利更上一層樓，小摩列 2023 年首選股
20,"Sony PS VR2、Meta Quest 3 新品助攻，估 2023 年全球 VR 裝置出貨量達 1,035 萬台"
21,Oceanic+ App 終於登陸 Apple Watch Ultra，帶來潛水電腦體驗
22,後疫情時代 IBM 數十億元投資台灣，高雄設軟體科技整合服務中心
23,更環保、更便宜的電池零件，把廢紙變成碳陽極
24,iPhone 15 相機大幅升級，Sony 感測器有望改善成像品質
25,電話掛號不用再轉接！長庚醫院推 24小時雙向 AI 智能客服
26,假帳號問題企圖掩蓋中國抗爭消息，Twitter 更痛失半數主要廣告商
27,南方天空 2 個星系暴力合併，撞出罕見星環
28,不甩罷工南韓下行政命令，強制水泥卡車司機開工
29,聯亞藥愛滋病新複方新藥！完成生體試驗將申請上市
30,聯亞藥愛滋病新複方新藥！完成生體試驗將申請上市
31,湧入強勁買盤！富邦越南 ETF 第四次追加募集獲准
32,特斯拉新廠落腳南韓？尹錫悅：將有專屬獎勵措施
33,美國年輕世代最期待的 Toyota 電動車：Tacoma EV
34,開工五年，英軍首艘 26 型巡防艦連下水儀式都很緩慢
35,威脅下架 Twitter，馬斯克辦投票要蘋果公布審查機制
36,IC Insights 估 2023 年半導體營收降 5%，後續 3 年回升
37,鎖定低軌商機，TI 擴大航太級產品組合
38,朝 7 奈米研發設計！巨有科技 11/30 以底價 36.17 元競拍
39,SiPearl 不看好 RISC-V 架構應用高效能運算，澆中國冷水
40,布局智慧工廠有成，友達獲德國 ROI-EFESO 工業 4.0 大獎
41,睡眠檢測準確率九成！台大健管中心攜安克生醫揪「呼吸中止症」
42,台中電廠清晨傳出火警，台電：供電不受影響
43,異次元寬鬆來首見，日銀持有的 JGB 出現帳面虧損
44,中國擴大防疫封控，主要城市開始攔查兩個手機 App
45,揭開能源「大黑箱」：台電如何計算一度電產生多少二氧化碳？
46,外派工程師赴美遭指掏空人才，台積電：沒這疑慮
47,白紙革命爆發導致 iPhone 供貨更不穩定，蘋果市值蒸發近千億美元
48,美國食品藥物管理局首度核准培養肉可供食用
49,全球政府盯上蘋果與 Google「雙頭壟斷」手機市場問題，寡占企業高額抽成暴利會被撼動嗎？
50,英國加強打擊 Deepfake 色情影片，未經同意分享將犯刑法罪
51,全球摺疊式手機發展趨勢分析
52,「Fula 付啦」來了！中國信託資融進軍先買後付市場
53,mRNA 流感疫苗重大突破！可對抗 20 種已知病毒株
54,Gartner：預估明年半導體營收跌破 6 千億美元，衰退 3.6%
55,全球唯二會跳動心肌層片，台灣醫療科技展首度亮相
56,美中爭霸築科技牆，中研院士：關鍵產業可能走雙軌制
57,借鏡歐盟「數位護照」，台灣大助推智慧循環，25.7 萬支手機延長生命週期
58,三大台股高息 ETF 易漲抗跌！00919、0056、00878 比一比
59,支援英國冬季供電，196MWh 歐洲最大儲能廠上線
60,南韓人口至本世紀末恐腰斬，韓央行總裁籲推動結構性改革
61,國內媒體與數位平台業者分潤，政府促成首場對話 29 日登場
62,億光再控瑞眾、亮麗星專利侵權，求償 1 億元
63,啟動「永續光廊」，默克、群創聯手打造全台最大液晶智慧窗
64,伯特光上櫃首日漲幅逾 20%！VR 及車用鏡頭需求成長可期
65,華爾街日報：美國援烏抗俄，對台軍售延遲交貨情況惡化
66,Twitter 恐被兩大應用程式平台下架，馬斯克：我就打造自己的手機
67,中國京滬等地爆發民眾抗爭，要求下架「清零政策」
68,內馬爾世界盃拚提前復出，傳用 NASA 技術療傷
69,做空大神 Chanos 預測特斯拉獲利下滑，需求已到天花板
70,日本薄型電視出貨量再陷萎縮，逾 2 年半來新低
71,專題》戰爭、地震或殭屍病毒：災難來臨時緊急備用的科技產品該是什麼？
72,專題》常規與不對稱作戰：烏克蘭和台灣防衛需求差異
73,專題》拚國防自主，哪些廠商已躋身軍工產業
74,專題》外購與自製：台灣強化國防的難題
