,Unnamed: 0,0,seg
0,0,鎖定低軌商機，TI 擴大航太級產品組合,"['鎖定', '低軌商機', '擴大', '航太級', '產品', '組合']"
1,1,朝 7 奈米研發設計！巨有科技 11/30 以底價 36.17 元競拍,"['奈米', '研發', '設計', '巨有', '以底價', '競拍', '科技']"
2,2,SiPearl 當前不看好 RISC-V 架構應用高效能運算，對中國期待澆冷水,"['當前', '架構', '應用', '運算', '中國', '高效能', '冷水', '期待', '看好']"
3,3,布局智慧工廠有成，友達獲德國 ROI-EFESO 工業 4.0 大獎,"['工廠', '友達', '獲德國', '工業', '大獎', '有成', '智慧', '布局']"
4,4,睡眠檢測準確率 9 成！台大健管中心攜安克生醫揪「呼吸中止症」,"['檢測準', '確率', '健管', '攜安克', '生醫', '台大', '中止', '睡眠', '呼吸', '中心']"
5,5,台中電廠清晨傳出火警，台電：供電不受影響,"['電廠', '傳出', '台電', '供電不受', '影響', '火警', '台中', '清晨']"
6,6,異次元寬鬆來首見，日銀持有的 JGB 出現帳面虧損,"['異次', '日銀', '出現', '帳面', '虧損', '持有']"
7,7,中國擴大防疫封控，主要城市開始攔查兩個手機 App,"['中國', '擴大', '封控', '開始', '攔查', '兩個', '手機', '防疫', '城市', '主要']"
8,8,Google Play 提供 App 歸檔功能：可部分移除應用，釋放手機空間,"['移除', '歸檔', '應用', '機空間', '放手', '功能', '提供', '部分']"
9,9,揭開能源「大黑箱」：台電如何計算一度電產生多少二氧化碳？,"['揭開', '台電', '計算', '電產生', '黑箱', '二氧化碳', '一度', '能源', '多少', '如何']"
10,10,外派工程師赴美遭指掏空人才，台積電：沒這疑慮,"['遭指', '台積電', '這疑慮', '外派', '掏空', '赴美', '人才', '工程']"
11,11,白紙革命爆發導致 iPhone 供貨更不穩定，蘋果市值已蒸發近千億美元,"['白紙', '爆發導致', '供貨', '穩定', '蘋果', '已蒸', '發近', '千億', '市值', '革命', '美元']"
12,12,美國食品藥物管理局首度核准培養肉可供食用,"['美國', '藥物', '培養', '首度', '管理局', '核准', '可供', '食用', '食品']"
13,13,全球政府盯上蘋果與 Google「雙頭壟斷」手機市場問題，寡占企業高額抽成暴利會被撼動嗎？,"['抽成', '蘋果', '雙頭', '壟斷', '手機', '市場', '問題', '寡占', '企業', '高額', '撼動', '盯上', '暴利', '全球', '政府']"
14,14,英國加強打擊 Deepfake 色情影片，未經同意分享將犯刑法罪,"['英國', '加強', '打擊', '未經', '將犯', '色情', '刑法', '分享', '影片', '同意']"
15,15,台灣 2023 年製造業產值估成長 3.24%，半導體產業提早達成 5 兆元產值目標,"['台灣', '估成', '.%', '半導', '體產業', '達成', '兆元產值', '目標', '提早']"
16,16,擴大營運版圖！伸興子公司喜佳首家手作空間中壢開幕,"['擴大營', '運版圖', '伸興', '喜佳', '手作', '空間', '中壢', '開幕', '首家', '子公司']"
17,17,蘋果抽廣告 Twitter 有多痛？,"['蘋果', '抽廣告', '有多痛']"
18,18,"獲 3,000 萬澳幣 B 輪融資，摩爾斯微電子加速拓展 Wi-Fi HaLow 市場","['萬澳幣', '輪融資', '摩爾斯微', '電子', '市場', '拓展', '加速']"
19,19,看好亞馬遜獲利更上一層樓，小摩列 2023 年首選股,"['亞馬遜', '獲利', '一層', '小摩列', '選股', '年首', '看好']"
20,20,"Sony PS VR2、Meta Quest 3 新品助攻，估 2023 年全球 VR 裝置出貨量達 1,035 萬台","['裝置', '出貨量', '萬台', '助攻', '新品', '全球']"
21,21,Oceanic+ App 終於登陸 Apple Watch Ultra，帶來潛水電腦體驗,"['終於登陸', '帶來', '潛水', '電腦', '體驗']"
22,22,後疫情時代 IBM 數十億元投資台灣，高雄設軟體科技整合服務中心,"['時代', '數十億元', '投資', '台灣', '高雄設', '軟體', '服務', '疫情', '整合', '科技', '中心']"
23,23,更環保、更便宜的電池零件，把廢紙變成碳陽極,"['環保', '電池', '廢紙', '變成', '碳陽極', '零件', '便宜']"
24,24,iPhone 15 相機大幅升級，Sony 感測器有望改善成像品質,"['相機', '升級', '感測器', '品質', '成像', '改善', '有望', '大幅']"
25,25,電話掛號不用再轉接！長庚醫院推 24小時雙向 AI 智能客服,"['電話', '掛號', '轉接', '醫院', '小時', '雙向', '客服', '智能', '不用']"
26,26,假帳號問題企圖掩蓋中國抗爭消息，Twitter 更痛失半數主要廣告商,"['帳號', '問題', '企圖', '掩蓋', '中國', '抗爭', '半數', '廣告商', '痛失', '消息', '主要']"
